"id","duration","start_date","start_station_id","end_date","end_station_id","bike_id","subscription_type","zip_code","created_at","updated_at"
16,797,"2013-01-09 13:12:00",2,"2013-01-09 13:25:00",3,643,"Customer",94116,"2018-09-11 15:22:38.612537","2018-09-11 15:22:38.612537"
17,587,"2013-01-09 13:25:00",9,"2013-01-09 13:35:00",11,96,"Subscriber",94040,"2018-09-11 15:22:38.63409","2018-09-11 15:22:38.63409"
18,983,"2013-01-09 13:41:00",6,"2013-01-09 13:58:00",3,109,"Customer",95008,"2018-09-11 15:22:38.695754","2018-09-11 15:22:38.695754"
19,986,"2013-01-09 13:42:00",6,"2013-01-09 13:58:00",3,63,"Customer",95008,"2018-09-11 15:22:38.70492","2018-09-11 15:22:38.70492"
20,493,"2013-01-09 14:47:00",2,"2013-01-09 14:56:00",7,686,"Subscriber",95126,"2018-09-11 15:22:38.895065","2018-09-11 15:22:38.895065"
21,1449,"2013-01-09 14:53:00",10,"2013-01-09 15:17:00",6,684,"Customer",94566,"2018-09-11 15:22:38.908988","2018-09-11 15:22:38.908988"
22,536,"2013-01-09 14:56:00",6,"2013-01-09 15:05:00",8,245,"Subscriber",95112,"2018-09-11 15:22:38.919884","2018-09-11 15:22:38.919884"
23,1111,"2013-01-09 14:59:00",10,"2013-01-09 15:17:00",6,156,"Customer",93955,"2018-09-11 15:22:38.926281","2018-09-11 15:22:38.926281"
24,993,"2013-01-09 15:00:00",10,"2013-01-09 15:17:00",6,638,"Customer",94568,"2018-09-11 15:22:38.930027","2018-09-11 15:22:38.930027"
25,843,"2013-01-09 15:03:00",10,"2013-01-09 15:17:00",6,640,"Customer",95112,"2018-09-11 15:22:38.945815","2018-09-11 15:22:38.945815"
26,833,"2013-01-09 15:03:00",10,"2013-01-09 15:17:00",6,26,"Customer",95112,"2018-09-11 15:22:38.952202","2018-09-11 15:22:38.952202"
27,821,"2013-01-09 15:04:00",7,"2013-01-09 15:18:00",2,82,"Subscriber",95126,"2018-09-11 15:22:38.958378","2018-09-11 15:22:38.958378"
28,690,"2013-01-09 15:06:00",10,"2013-01-09 15:17:00",6,58,"Customer",94588,"2018-09-11 15:22:38.972152","2018-09-11 15:22:38.972152"
29,659,"2013-01-09 15:06:00",10,"2013-01-09 15:17:00",6,61,"Customer",94588,"2018-09-11 15:22:38.978436","2018-09-11 15:22:38.978436"
30,533,"2013-01-09 15:08:00",10,"2013-01-09 15:17:00",6,181,"Customer",94588,"2018-09-11 15:22:38.987135","2018-09-11 15:22:38.987135"
31,513,"2013-01-09 15:09:00",10,"2013-01-09 15:17:00",6,101,"Customer",94588,"2018-09-11 15:22:38.99102","2018-09-11 15:22:38.99102"
32,4044,"2013-01-09 15:09:00",7,"2013-01-09 16:17:00",7,646,"Customer",95113,"2018-09-11 15:22:38.994769","2018-09-11 15:22:38.994769"
33,4295,"2013-01-09 15:25:00",7,"2013-01-09 16:36:00",7,661,"Customer",95112,"2018-09-11 15:22:39.047989","2018-09-11 15:22:39.047989"
34,4252,"2013-01-09 15:25:00",7,"2013-01-09 16:36:00",7,639,"Customer",95112,"2018-09-11 15:22:39.054496","2018-09-11 15:22:39.054496"
35,1447,"2013-01-09 15:32:00",13,"2013-01-09 15:56:00",13,40,"Customer",95112,"2018-09-11 15:22:39.07467","2018-09-11 15:22:39.07467"
36,1408,"2013-01-09 15:32:00",13,"2013-01-09 15:55:00",13,90,"Customer",95112,"2018-09-11 15:22:39.078475","2018-09-11 15:22:39.078475"
37,603,"2013-01-09 15:36:00",12,"2013-01-09 15:46:00",2,64,"Subscriber",94040,"2018-09-11 15:22:39.084523","2018-09-11 15:22:39.084523"
38,689,"2013-01-09 15:47:00",3,"2013-01-09 15:59:00",2,680,"Customer",94116,"2018-09-11 15:22:39.121036","2018-09-11 15:22:39.121036"
39,647,"2013-01-09 15:48:00",3,"2013-01-09 15:59:00",2,37,"Customer",94116,"2018-09-11 15:22:39.127026","2018-09-11 15:22:39.127026"
40,991,"2013-01-09 16:21:00",6,"2013-01-09 16:38:00",16,181,"Customer",94568,"2018-09-11 15:22:39.218323","2018-09-11 15:22:39.218323"
41,4076,"2013-01-09 16:22:00",6,"2013-01-09 17:30:00",16,61,"Customer",94588,"2018-09-11 15:22:39.224625","2018-09-11 15:22:39.224625"
42,4037,"2013-01-09 16:22:00",6,"2013-01-09 17:29:00",16,246,"Customer",94588,"2018-09-11 15:22:39.231165","2018-09-11 15:22:39.231165"
43,4019,"2013-01-09 16:23:00",6,"2013-01-09 17:30:00",16,640,"Customer",94566,"2018-09-11 15:22:39.237507","2018-09-11 15:22:39.237507"
44,3908,"2013-01-09 16:24:00",6,"2013-01-09 17:29:00",16,116,"Customer",94588,"2018-09-11 15:22:39.245561","2018-09-11 15:22:39.245561"
45,9150,"2013-01-09 16:24:00",6,"2013-01-09 18:56:00",10,45,"Customer",94588,"2018-09-11 15:22:39.249308","2018-09-11 15:22:39.249308"
46,3858,"2013-01-09 16:25:00",6,"2013-01-09 17:29:00",16,146,"Customer",95112,"2018-09-11 15:22:39.252907","2018-09-11 15:22:39.252907"
47,3833,"2013-01-09 16:25:00",6,"2013-01-09 17:29:00",16,156,"Customer",95112,"2018-09-11 15:22:39.256324","2018-09-11 15:22:39.256324"
48,3856,"2013-01-09 16:25:00",6,"2013-01-09 17:30:00",16,58,"Customer",93955,"2018-09-11 15:22:39.259806","2018-09-11 15:22:39.259806"
49,1937,"2013-01-09 16:53:00",9,"2013-01-09 17:25:00",10,196,"Customer",7882,"2018-09-11 15:22:39.312265","2018-09-11 15:22:39.312265"
50,1902,"2013-01-09 16:53:00",9,"2013-01-09 17:25:00",10,653,"Customer",7882,"2018-09-11 15:22:39.318806","2018-09-11 15:22:39.318806"
51,729,"2013-01-09 17:12:00",2,"2013-01-09 17:24:00",8,680,"Subscriber",95126,"2018-09-11 15:22:39.335166","2018-09-11 15:22:39.335166"
52,1501,"2013-01-09 17:21:00",8,"2013-01-09 17:46:00",2,25,"Customer",94127,"2018-09-11 15:22:39.355785","2018-09-11 15:22:39.355785"
53,1459,"2013-01-09 17:21:00",8,"2013-01-09 17:46:00",2,76,"Customer",53703,"2018-09-11 15:22:39.359631","2018-09-11 15:22:39.359631"
54,1039,"2013-01-09 17:28:00",10,"2013-01-09 17:46:00",11,653,"Customer",7882,"2018-09-11 15:22:39.368114","2018-09-11 15:22:39.368114"
55,1023,"2013-01-09 17:29:00",10,"2013-01-09 17:46:00",11,196,"Customer",7882,"2018-09-11 15:22:39.371886","2018-09-11 15:22:39.371886"
56,918,"2013-01-09 17:49:00",11,"2013-01-09 18:04:00",9,53,"Customer",7882,"2018-09-11 15:22:39.401471","2018-09-11 15:22:39.401471"
57,880,"2013-01-09 17:49:00",11,"2013-01-09 18:04:00",9,653,"Customer",7882,"2018-09-11 15:22:39.405476","2018-09-11 15:22:39.405476"
58,651,"2013-01-09 18:17:00",8,"2013-01-09 18:28:00",11,680,"Customer",95054,"2018-09-11 15:22:39.466786","2018-09-11 15:22:39.466786"
59,2238,"2013-01-09 18:23:00",4,"2013-01-09 19:00:00",4,188,"Customer",95110,"2018-09-11 15:22:39.485704","2018-09-11 15:22:39.485704"
60,2251,"2013-01-09 18:23:00",4,"2013-01-09 19:00:00",4,237,"Customer",94025,"2018-09-11 15:22:39.489744","2018-09-11 15:22:39.489744"
61,785,"2013-01-09 18:31:00",11,"2013-01-09 18:44:00",9,86,"Customer",95054,"2018-09-11 15:22:39.516328","2018-09-11 15:22:39.516328"
62,277,"2013-01-09 19:33:00",8,"2013-01-09 19:38:00",11,89,"Subscriber",95112,"2018-09-11 15:22:39.584219","2018-09-11 15:22:39.584219"
63,852,"2013-01-09 19:35:00",9,"2013-01-09 19:49:00",11,86,"Customer",95054,"2018-09-11 15:22:39.593141","2018-09-11 15:22:39.593141"
64,416,"2013-01-09 19:39:00",11,"2013-01-09 19:45:00",6,96,"Subscriber",95112,"2018-09-11 15:22:39.599484","2018-09-11 15:22:39.599484"
65,583,"2013-01-09 19:49:00",6,"2013-01-09 19:58:00",9,101,"Subscriber",95112,"2018-09-11 15:22:39.610483","2018-09-11 15:22:39.610483"
66,252,"2013-01-09 20:20:00",12,"2013-01-09 20:24:00",8,53,"Subscriber",95112,"2018-09-11 15:22:39.638363","2018-09-11 15:22:39.638363"
67,927,"2013-01-09 22:52:00",16,"2013-01-09 23:07:00",10,146,"Customer",94588,"2018-09-11 15:22:39.718006","2018-09-11 15:22:39.718006"
68,889,"2013-01-09 22:53:00",16,"2013-01-09 23:07:00",10,31,"Customer",94588,"2018-09-11 15:22:39.723609","2018-09-11 15:22:39.723609"
69,829,"2013-01-09 22:54:00",16,"2013-01-09 23:07:00",10,46,"Customer",94566,"2018-09-11 15:22:39.732064","2018-09-11 15:22:39.732064"
70,802,"2013-01-09 22:54:00",16,"2013-01-09 23:08:00",10,246,"Customer",95112,"2018-09-11 15:22:39.73581","2018-09-11 15:22:39.73581"
71,755,"2013-01-09 22:54:00",16,"2013-01-09 23:07:00",10,12,"Customer",95112,"2018-09-11 15:22:39.739525","2018-09-11 15:22:39.739525"
72,374,"2013-02-09 00:45:00",10,"2013-02-09 00:51:00",16,45,"Customer",94588,"2018-09-11 15:22:39.814901","2018-09-11 15:22:39.814901"
73,355,"2013-02-09 00:46:00",10,"2013-02-09 00:52:00",16,40,"Customer",94566,"2018-09-11 15:22:39.821313","2018-09-11 15:22:39.821313"
74,15754,"2013-02-09 08:01:00",11,"2013-02-09 12:23:00",6,669,"Customer",95110,"2018-09-11 15:22:39.913075","2018-09-11 15:22:39.913075"
75,393,"2013-02-09 12:26:00",6,"2013-02-09 12:32:00",8,26,"Subscriber",95112,"2018-09-11 15:22:40.27004","2018-09-11 15:22:40.27004"
76,4272,"2013-02-09 12:29:00",14,"2013-02-09 13:40:00",14,665,"Customer",95124,"2018-09-11 15:22:40.279118","2018-09-11 15:22:40.279118"
77,4243,"2013-02-09 12:29:00",14,"2013-02-09 13:40:00",14,668,"Customer",95124,"2018-09-11 15:22:40.283087","2018-09-11 15:22:40.283087"
78,2021,"2013-02-09 13:31:00",10,"2013-02-09 14:04:00",4,67,"Customer",95112,"2018-09-11 15:22:40.454583","2018-09-11 15:22:40.454583"
79,1670,"2013-02-09 14:01:00",14,"2013-02-09 14:29:00",14,668,"Customer",93705,"2018-09-11 15:22:40.535842","2018-09-11 15:22:40.535842"
80,870,"2013-02-09 14:09:00",4,"2013-02-09 14:23:00",16,67,"Customer",95112,"2018-09-11 15:22:40.556903","2018-09-11 15:22:40.556903"
81,1199,"2013-02-09 14:10:00",14,"2013-02-09 14:30:00",14,186,"Customer",93705,"2018-09-11 15:22:40.563213","2018-09-11 15:22:40.563213"
82,376,"2013-02-09 14:11:00",8,"2013-02-09 14:17:00",6,26,"Subscriber",95112,"2018-09-11 15:22:40.566947","2018-09-11 15:22:40.566947"
83,1551,"2013-02-09 14:30:00",14,"2013-02-09 14:56:00",14,668,"Customer",93705,"2018-09-11 15:22:40.628017","2018-09-11 15:22:40.628017"
84,1513,"2013-02-09 14:31:00",14,"2013-02-09 14:56:00",14,186,"Customer",93705,"2018-09-11 15:22:40.63709","2018-09-11 15:22:40.63709"
85,231,"2013-02-09 14:39:00",3,"2013-02-09 14:43:00",5,641,"Subscriber",95125,"2018-09-11 15:22:40.668021","2018-09-11 15:22:40.668021"
86,517,"2013-02-09 14:45:00",5,"2013-02-09 14:54:00",2,609,"Subscriber",95125,"2018-09-11 15:22:40.683164","2018-09-11 15:22:40.683164"
87,1537,"2013-02-09 14:49:00",10,"2013-02-09 15:15:00",11,658,"Customer",95112,"2018-09-11 15:22:40.704853","2018-09-11 15:22:40.704853"
88,1365,"2013-02-09 14:52:00",10,"2013-02-09 15:15:00",11,30,"Customer",95112,"2018-09-11 15:22:40.725742","2018-09-11 15:22:40.725742"
89,1206,"2013-02-09 14:55:00",10,"2013-02-09 15:15:00",11,90,"Customer",95112,"2018-09-11 15:22:40.732079","2018-09-11 15:22:40.732079"
90,242,"2013-02-09 15:15:00",2,"2013-02-09 15:19:00",14,82,"Subscriber",95125,"2018-09-11 15:22:40.781609","2018-09-11 15:22:40.781609"
91,940,"2013-02-09 15:20:00",14,"2013-02-09 15:36:00",14,662,"Subscriber",95125,"2018-09-11 15:22:40.81212","2018-09-11 15:22:40.81212"
92,3633,"2013-02-09 15:21:00",2,"2013-02-09 16:21:00",2,37,"Customer",95126,"2018-09-11 15:22:40.816118","2018-09-11 15:22:40.816118"
93,3619,"2013-02-09 15:21:00",2,"2013-02-09 16:21:00",2,70,"Customer",95126,"2018-09-11 15:22:40.819861","2018-09-11 15:22:40.819861"
94,609,"2013-02-09 15:26:00",16,"2013-02-09 15:37:00",10,106,"Customer",95112,"2018-09-11 15:22:40.828627","2018-09-11 15:22:40.828627"
95,117,"2013-02-09 15:36:00",14,"2013-02-09 15:38:00",14,186,"Subscriber",95125,"2018-09-11 15:22:40.849174","2018-09-11 15:22:40.849174"
96,517,"2013-02-09 15:39:00",14,"2013-02-09 15:47:00",10,82,"Subscriber",95125,"2018-09-11 15:22:40.856408","2018-09-11 15:22:40.856408"
97,605,"2013-02-09 15:50:00",10,"2013-02-09 16:00:00",9,82,"Subscriber",95125,"2018-09-11 15:22:40.892342","2018-09-11 15:22:40.892342"
98,840,"2013-02-09 15:50:00",6,"2013-02-09 16:04:00",11,684,"Customer",95123,"2018-09-11 15:22:40.896336","2018-09-11 15:22:40.896336"
99,564,"2013-02-09 16:03:00",9,"2013-02-09 16:12:00",9,82,"Subscriber",95125,"2018-09-11 15:22:40.918954","2018-09-11 15:22:40.918954"
100,1077,"2013-02-09 16:13:00",11,"2013-02-09 16:31:00",6,658,"Customer",95123,"2018-09-11 15:22:40.929781","2018-09-11 15:22:40.929781"
101,928,"2013-02-09 16:29:00",9,"2013-02-09 16:45:00",4,82,"Subscriber",95125,"2018-09-11 15:22:40.97245","2018-09-11 15:22:40.97245"
102,262,"2013-02-09 16:33:00",6,"2013-02-09 16:38:00",6,658,"Customer",95123,"2018-09-11 15:22:40.997734","2018-09-11 15:22:40.997734"
103,697,"2013-02-09 17:15:00",2,"2013-02-09 17:26:00",8,107,"Subscriber",95126,"2018-09-11 15:22:41.054178","2018-09-11 15:22:41.054178"
104,1411,"2013-02-09 17:23:00",6,"2013-02-09 17:46:00",3,669,"Customer",95126,"2018-09-11 15:22:41.07786","2018-09-11 15:22:41.07786"
105,1282,"2013-02-09 17:23:00",6,"2013-02-09 17:45:00",3,50,"Customer",95126,"2018-09-11 15:22:41.084103","2018-09-11 15:22:41.084103"
106,4556,"2013-02-09 17:44:00",24,"2013-02-09 19:00:00",24,258,"Customer",94022,"2018-09-11 15:22:41.100017","2018-09-11 15:22:41.100017"
107,4441,"2013-02-09 17:46:00",24,"2013-02-09 19:00:00",24,132,"Customer",94063,"2018-09-11 15:22:41.105559","2018-09-11 15:22:41.105559"
108,680,"2013-02-09 17:51:00",8,"2013-02-09 18:03:00",14,65,"Subscriber",95126,"2018-09-11 15:22:41.117203","2018-09-11 15:22:41.117203"
109,1568,"2013-02-09 18:51:00",11,"2013-02-09 19:17:00",16,86,"Customer",95112,"2018-09-11 15:22:41.198325","2018-09-11 15:22:41.198325"
110,471,"2013-02-09 18:57:00",2,"2013-02-09 19:05:00",10,68,"Customer",87122,"2018-09-11 15:22:41.224156","2018-09-11 15:22:41.224156"
111,460,"2013-02-09 18:57:00",2,"2013-02-09 19:04:00",10,70,"Customer",87122,"2018-09-11 15:22:41.228017","2018-09-11 15:22:41.228017"
112,2355,"2013-02-09 19:09:00",3,"2013-02-09 19:48:00",3,187,"Customer",95119,"2018-09-11 15:22:41.252273","2018-09-11 15:22:41.252273"
113,831,"2013-02-09 19:17:00",10,"2013-02-09 19:31:00",13,246,"Subscriber",95112,"2018-09-11 15:22:41.26609","2018-09-11 15:22:41.26609"
114,1038,"2013-02-09 19:17:00",12,"2013-02-09 19:35:00",2,180,"Customer",94304,"2018-09-11 15:22:41.269997","2018-09-11 15:22:41.269997"
115,1643,"2013-02-09 19:19:00",16,"2013-02-09 19:46:00",11,86,"Customer",95112,"2018-09-11 15:22:41.273919","2018-09-11 15:22:41.273919"
116,764,"2013-02-09 19:22:00",12,"2013-02-09 19:35:00",2,184,"Customer",7024,"2018-09-11 15:22:41.282507","2018-09-11 15:22:41.282507"
117,3580,"2013-02-09 20:59:00",7,"2013-02-09 21:59:00",10,646,"Customer",95112,"2018-09-11 15:22:41.391532","2018-09-11 15:22:41.391532"
118,3296,"2013-02-09 21:04:00",7,"2013-02-09 21:59:00",10,664,"Customer",95112,"2018-09-11 15:22:41.400656","2018-09-11 15:22:41.400656"
119,3102,"2013-02-09 21:09:00",11,"2013-02-09 22:00:00",10,200,"Customer",95051,"2018-09-11 15:22:41.409218","2018-09-11 15:22:41.409218"
120,157,"2013-03-09 00:29:00",13,"2013-03-09 00:31:00",13,34,"Customer",95123,"2018-09-11 15:22:41.485687","2018-09-11 15:22:41.485687"
121,92,"2013-03-09 08:30:00",9,"2013-03-09 08:32:00",9,101,"Subscriber",95112,"2018-09-11 15:22:41.634358","2018-09-11 15:22:41.634358"
122,472,"2013-03-09 08:33:00",9,"2013-03-09 08:41:00",11,653,"Subscriber",95112,"2018-09-11 15:22:41.643165","2018-09-11 15:22:41.643165"
123,60,"2013-03-09 08:37:00",24,"2013-03-09 08:38:00",24,239,"Subscriber",94105,"2018-09-11 15:22:41.6542","2018-09-11 15:22:41.6542"
124,482,"2013-03-09 10:00:00",7,"2013-03-09 10:08:00",4,102,"Customer",95112,"2018-09-11 15:22:41.804519","2018-09-11 15:22:41.804519"
125,1095,"2013-03-09 10:10:00",21,"2013-03-09 10:28:00",21,205,"Customer",94061,"2018-09-11 15:22:41.822817","2018-09-11 15:22:41.822817"
126,609,"2013-03-09 11:24:00",10,"2013-03-09 11:35:00",10,146,"Subscriber",95112,"2018-09-11 15:22:41.889747","2018-09-11 15:22:41.889747"
127,1470,"2013-03-09 11:25:00",21,"2013-03-09 11:49:00",21,205,"Customer",94061,"2018-09-11 15:22:41.898755","2018-09-11 15:22:41.898755"
128,375,"2013-03-09 11:43:00",6,"2013-03-09 11:49:00",6,26,"Subscriber",95126,"2018-09-11 15:22:41.926587","2018-09-11 15:22:41.926587"
129,568,"2013-03-09 11:44:00",5,"2013-03-09 11:53:00",12,659,"Subscriber",94536,"2018-09-11 15:22:41.930487","2018-09-11 15:22:41.930487"
130,1005,"2013-03-09 11:44:00",5,"2013-03-09 12:01:00",2,654,"Customer",95125,"2018-09-11 15:22:41.934224","2018-09-11 15:22:41.934224"
131,1038,"2013-03-09 11:56:00",21,"2013-03-09 12:14:00",24,228,"Customer",94061,"2018-09-11 15:22:41.956935","2018-09-11 15:22:41.956935"
132,447,"2013-03-09 12:03:00",4,"2013-03-09 12:11:00",7,102,"Customer",95112,"2018-09-11 15:22:41.967804","2018-09-11 15:22:41.967804"
133,3471,"2013-03-09 12:04:00",2,"2013-03-09 13:02:00",2,654,"Customer",95125,"2018-09-11 15:22:41.971919","2018-09-11 15:22:41.971919"
134,543,"2013-03-09 12:26:00",12,"2013-03-09 12:35:00",5,673,"Subscriber",94536,"2018-09-11 15:22:42.011516","2018-09-11 15:22:42.011516"
135,215,"2013-03-09 12:38:00",11,"2013-03-09 12:42:00",7,185,"Subscriber",95112,"2018-09-11 15:22:42.034943","2018-09-11 15:22:42.034943"
136,395,"2013-03-09 12:50:00",7,"2013-03-09 12:57:00",10,185,"Subscriber",95112,"2018-09-11 15:22:42.062317","2018-09-11 15:22:42.062317"
137,762,"2013-03-09 12:59:00",2,"2013-03-09 13:11:00",8,64,"Subscriber",95126,"2018-09-11 15:22:42.066307","2018-09-11 15:22:42.066307"
138,159,"2013-03-09 13:34:00",12,"2013-03-09 13:37:00",7,24,"Subscriber",95062,"2018-09-11 15:22:42.124202","2018-09-11 15:22:42.124202"
139,335,"2013-03-09 13:36:00",10,"2013-03-09 13:42:00",5,646,"Subscriber",94041,"2018-09-11 15:22:42.136966","2018-09-11 15:22:42.136966"
140,18009,"2013-03-09 13:46:00",7,"2013-03-09 18:46:00",7,24,"Subscriber",95062,"2018-09-11 15:22:42.173267","2018-09-11 15:22:42.173267"
141,323,"2013-03-09 14:11:00",5,"2013-03-09 14:16:00",11,646,"Subscriber",94041,"2018-09-11 15:22:42.217919","2018-09-11 15:22:42.217919"
142,1154,"2013-03-09 14:25:00",8,"2013-03-09 14:44:00",2,64,"Subscriber",95126,"2018-09-11 15:22:42.250807","2018-09-11 15:22:42.250807"
143,439,"2013-03-09 14:53:00",11,"2013-03-09 15:00:00",9,653,"Subscriber",95112,"2018-09-11 15:22:42.288619","2018-09-11 15:22:42.288619"
144,487,"2013-03-09 15:45:00",16,"2013-03-09 15:53:00",11,67,"Customer",95112,"2018-09-11 15:22:42.371779","2018-09-11 15:22:42.371779"
145,1522,"2013-03-09 17:01:00",9,"2013-03-09 17:26:00",11,101,"Subscriber",95112,"2018-09-11 15:22:42.49039","2018-09-11 15:22:42.49039"
146,493,"2013-03-09 17:15:00",11,"2013-03-09 17:24:00",16,28,"Customer",95112,"2018-09-11 15:22:42.53584","2018-09-11 15:22:42.53584"
147,94,"2013-03-09 17:33:00",11,"2013-03-09 17:34:00",11,86,"Subscriber",95112,"2018-09-11 15:22:42.598542","2018-09-11 15:22:42.598542"
148,217,"2013-03-09 17:42:00",11,"2013-03-09 17:45:00",12,101,"Subscriber",95112,"2018-09-11 15:22:42.638303","2018-09-11 15:22:42.638303"
149,134,"2013-03-09 17:50:00",16,"2013-03-09 17:52:00",16,45,"Subscriber",95126,"2018-09-11 15:22:42.651531","2018-09-11 15:22:42.651531"
150,280,"2013-03-09 18:01:00",7,"2013-03-09 18:06:00",13,639,"Subscriber",95112,"2018-09-11 15:22:42.673015","2018-09-11 15:22:42.673015"
151,448,"2013-03-09 18:52:00",8,"2013-03-09 19:00:00",12,58,"Subscriber",95112,"2018-09-11 15:22:42.804894","2018-09-11 15:22:42.804894"
152,454,"2013-03-09 19:00:00",12,"2013-03-09 19:07:00",8,659,"Subscriber",95112,"2018-09-11 15:22:42.821286","2018-09-11 15:22:42.821286"
153,1061,"2013-03-09 19:36:00",7,"2013-03-09 19:54:00",12,24,"Customer",95113,"2018-09-11 15:22:42.902091","2018-09-11 15:22:42.902091"
154,1062,"2013-03-09 20:09:00",2,"2013-03-09 20:26:00",8,184,"Subscriber",95126,"2018-09-11 15:22:42.941642","2018-09-11 15:22:42.941642"
155,1014,"2013-03-09 20:09:00",2,"2013-03-09 20:26:00",8,64,"Subscriber",95126,"2018-09-11 15:22:42.945537","2018-09-11 15:22:42.945537"
156,820,"2013-03-09 21:11:00",8,"2013-03-09 21:25:00",14,40,"Subscriber",95126,"2018-09-11 15:22:42.987799","2018-09-11 15:22:42.987799"
157,778,"2013-03-09 21:12:00",8,"2013-03-09 21:25:00",14,184,"Subscriber",95126,"2018-09-11 15:22:42.994267","2018-09-11 15:22:42.994267"
158,755,"2013-03-09 23:12:00",2,"2013-03-09 23:24:00",10,654,"Subscriber",95112,"2018-09-11 15:22:43.034397","2018-09-11 15:22:43.034397"
159,127,"2013-04-09 06:50:00",12,"2013-04-09 06:52:00",11,24,"Customer",95113,"2018-09-11 15:22:43.069457","2018-09-11 15:22:43.069457"
160,453,"2013-04-09 07:31:00",6,"2013-04-09 07:39:00",2,96,"Subscriber",95110,"2018-09-11 15:22:43.101183","2018-09-11 15:22:43.101183"
161,474,"2013-04-09 07:54:00",10,"2013-04-09 08:02:00",9,185,"Subscriber",95112,"2018-09-11 15:22:43.149266","2018-09-11 15:22:43.149266"
162,289,"2013-04-09 08:03:00",2,"2013-04-09 08:08:00",6,180,"Subscriber",94041,"2018-09-11 15:22:43.17501","2018-09-11 15:22:43.17501"
163,396,"2013-04-09 08:04:00",2,"2013-04-09 08:10:00",4,609,"Subscriber",94086,"2018-09-11 15:22:43.178995","2018-09-11 15:22:43.178995"
164,619,"2013-04-09 08:04:00",2,"2013-04-09 08:14:00",13,37,"Subscriber",94114,"2018-09-11 15:22:43.182721","2018-09-11 15:22:43.182721"
165,673,"2013-04-09 08:14:00",2,"2013-04-09 08:25:00",13,96,"Customer",2906,"2018-09-11 15:22:43.196373","2018-09-11 15:22:43.196373"
166,576,"2013-04-09 08:14:00",2,"2013-04-09 08:24:00",4,23,"Subscriber",94110,"2018-09-11 15:22:43.200205","2018-09-11 15:22:43.200205"
167,575,"2013-04-09 08:14:00",2,"2013-04-09 08:24:00",4,657,"Subscriber",94158,"2018-09-11 15:22:43.203953","2018-09-11 15:22:43.203953"
168,799,"2013-04-09 08:22:00",9,"2013-04-09 08:35:00",7,653,"Subscriber",95112,"2018-09-11 15:22:43.215031","2018-09-11 15:22:43.215031"
169,997,"2013-04-09 08:52:00",14,"2013-04-09 09:08:00",14,668,"Customer",95070,"2018-09-11 15:22:43.287593","2018-09-11 15:22:43.287593"
170,163,"2013-04-09 08:52:00",12,"2013-04-09 08:55:00",7,101,"Subscriber",95062,"2018-09-11 15:22:43.298893","2018-09-11 15:22:43.298893"
171,206,"2013-04-09 10:10:00",13,"2013-04-09 10:14:00",10,38,"Subscriber",95112,"2018-09-11 15:22:43.421832","2018-09-11 15:22:43.421832"
